NR_041599.1,Acanthopleuribacter pedis strain NBRC 101209 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Acanthopleuribacterales; Acanthopleuribacteraceae; Acanthopleuribacter; pedis; NBRC 101209
NR_041648.1,Actinoallomurus yoronensis strain TTN02-22 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; yoronensis; TTN02-22
NR_024650.1,Actinoalloteichus cyanogriseus strain IFO 14455 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinoalloteichus; cyanogriseus; IFO 14455
NR_044137.1,Actinoalloteichus cyanogriseus strain NRRL B-2194 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinoalloteichus; cyanogriseus; NRRL B-2194
NR_135901.1,Actinoalloteichus hoggarensis strain AH97 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinoalloteichus; hoggarensis; AH97
NR_043574.1,Actinoalloteichus hymeniacidonis strain HPA177 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinoalloteichus; hymeniacidonis; HPA177
NR_117418.1,Actinoalloteichus nanshanensis strain NEAU 119 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinoalloteichus; nanshanensis; NEAU 119
NR_042898.1,Actinoalloteichus spitiensis RMV-1378 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinoalloteichus; spitiensis; RMV-1378
NR_041909.1,Actinobaculum massiliense strain CIP 107404 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinobaculum; massiliense; CIP 107404
NR_044760.2,Actinobaculum suis strain Soltys 50052 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinobaculum; suis; Soltys 50052
NR_115096.1,Actinocatenispora rupis strain CS5-AC17 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinocatenispora; rupis; CS5-AC17
NR_041469.1,Actinocatenispora sera strain KV-744 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinocatenispora; sera; KV-744
NR_040967.1,Actinocatenispora thailandica strain TT2-10 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinocatenispora; thailandica; TT2-10
NR_042027.1,Actinocorallia aurantiaca strain IMSNU 22193 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; aurantiaca; IMSNU 22193
NR_114514.1,Actinocorallia aurantiaca strain JCM 8201 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; aurantiaca; JCM 8201
NR_115569.1,Actinocorallia aurantiaca strain JCM8201 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; aurantiaca; JCM8201
NR_040782.1,Actinocorallia aurea strain NBRC 14752 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; aurea; NBRC 14752
NR_043311.1,Actinocorallia cavernae strain N3-7 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; cavernae; N3-7
NR_115566.1,Actinocorallia glomerata strain I-226 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; glomerata; I-226
NR_042030.1,Actinocorallia glomerata strain IMSNU 22179 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; glomerata; IMSNU 22179
NR_114515.1,Actinocorallia glomerata strain JCM 9376 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; glomerata; JCM 9376
NR_112732.1,Actinocorallia glomerata strain NBRC 15960 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; glomerata; NBRC 15960
NR_115631.1,Actinocorallia herbida strain IFO 15485 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; herbida; IFO 15485
NR_149266.1,Actinocorallia lasiicapitis strain 3H-GS17 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; lasiicapitis; 3H-GS17
NR_026005.1,Actinocorallia libanotica strain IFO 14095 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; libanotica; IFO 14095
NR_112733.1,Actinocorallia libanotica strain NBRC 14095 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; libanotica; NBRC 14095
NR_042033.1,Actinocorallia longicatena strain IMSNU 22180 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; longicatena; IMSNU 22180
NR_114532.1,Actinocorallia longicatena strain JCM9377 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; longicatena; JCM9377
NR_112731.1,Actinocorallia longicatena strain NBRC 15961 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinocorallia; longicatena; NBRC 15961
NR_156134.1,Actinocrinis puniceicyclus strain OB1 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Catenulisporales; Actinospicaceae; Actinocrinis; puniceicyclus; OB1
NR_152656.1,Actinocrispum wychmicini strain MI503-A4 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinocrispum; wychmicini; MI503-A4
NR_157702.1,Actinokineospora acnipugnans strain R434 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; acnipugnans; R434
NR_040873.1,Actinokineospora auranticolor strain IFO 16518 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; auranticolor; IFO 16518
NR_112800.1,Actinokineospora baliensis strain ID03-0561 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; baliensis; ID03-0561
NR_118427.1,Actinokineospora bangkokensis strain 44EHW 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; bangkokensis; 44EHW
NR_112847.1,Actinokineospora cianjurensis strain BTCC B-558 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; cianjurensis; BTCC B-558
NR_112801.1,Actinokineospora cibodasensis strain NBRC 104212 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; cibodasensis; NBRC 104212
NR_024962.2,Actinokineospora diospyrosa strain NRRL B-24047 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; diospyrosa; NRRL B-24047
